Vintage,Group,Index,Variable,Tenure,Ethnicity,Race
2000,H011,1,H011001,All,All,All
2000,H011,2,H011002,Owner occupied,All,All
2000,H011,3,H011003,Owner occupied,All,White
2000,H011,4,H011004,Owner occupied,All,Black or African American
2000,H011,5,H011005,Owner occupied,All,American Indian and Alaska Native
2000,H011,6,H011006,Owner occupied,All,Asian
2000,H011,7,H011007,Owner occupied,All,Native Hawaiian and Other Pacific Islander
2000,H011,8,H011008,Owner occupied,All,Some other race
2000,H011,9,H011009,Owner occupied,All,Two or more races
2000,H011,10,H011010,Renter occupied,All,All
2000,H011,11,H011011,Renter occupied,All,White
2000,H011,12,H011012,Renter occupied,All,Black or African American
2000,H011,13,H011013,Renter occupied,All,American Indian and Alaska Native
2000,H011,14,H011014,Renter occupied,All,Asian
2000,H011,15,H011015,Renter occupied,All,Native Hawaiian and Other Pacific Islander
2000,H011,16,H011016,Renter occupied,All,Some other race
2000,H011,17,H011017,Renter occupied,All,Two or more races
2000,H012,1,H012001,All,Hispanic or Latino,All
2000,H012,2,H012002,Owner occupied,Hispanic or Latino,All
2000,H012,3,H012003,Renter occupied,Hispanic or Latino,All
2000,H013,1,H013001,All,Not Hispanic or Latino,White
2000,H013,2,H013002,Owner occupied,Not Hispanic or Latino,White
2000,H013,3,H013003,Renter occupied,Not Hispanic or Latino,White
2010,HCT001,1,HCT001001,All,All,All
2010,HCT001,2,HCT001002,Owner occupied,All,All
2010,HCT001,3,HCT001003,Owner occupied,Not Hispanic or Latino,All
2010,HCT001,4,HCT001004,Owner occupied,Not Hispanic or Latino,White
2010,HCT001,5,HCT001005,Owner occupied,Not Hispanic or Latino,Black or African American
2010,HCT001,6,HCT001006,Owner occupied,Not Hispanic or Latino,American Indian and Alaska Native
2010,HCT001,7,HCT001007,Owner occupied,Not Hispanic or Latino,Asian
2010,HCT001,8,HCT001008,Owner occupied,Not Hispanic or Latino,Native Hawaiian and Other Pacific Islander
2010,HCT001,9,HCT001009,Owner occupied,Not Hispanic or Latino,Some Other Race
2010,HCT001,10,HCT001010,Owner occupied,Not Hispanic or Latino,Two or More Races
